Rk,Player,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PTS▼,impact,,,,,,
1,Kevin Durant,9.1,19.7,0.462,1.9,5.3,0.35,7.3,14.4,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1,27.7,28.3,ppg avg,11.95698925,,,,
2,LeBron James,9.6,18.8,0.51,1.2,3.5,0.33,8.4,15.3,0.552,0.541,6.4,8.4,0.759,1,6.5,7.5,7,1.6,0.6,26.7,32.7,ppg sd,5.541692548,,,,
3,Carmelo Anthony,8.9,19.5,0.455,1.2,3.3,0.378,7.6,16.3,0.47,0.487,6.6,7.9,0.838,1.5,5.8,7.3,2.9,0.9,0.6,25.6,27.2,,,,,,
4,Dwyane Wade,9.1,18.2,0.5,0.8,2.7,0.306,8.3,15.5,0.534,0.523,6.5,8.6,0.758,1.6,4.8,6.4,4.6,1.5,1.1,25.5,29.2,imp avg,15.40430108,,,,
5,Kobe Bryant*,9,20,0.451,1.4,4.3,0.323,7.6,15.6,0.487,0.487,5.9,7.1,0.828,1,4.1,5.1,4.7,1.2,0.1,25.3,26,imp sd,6.355451611,,,,
6,Amar'e Stoudemire,9.5,19,0.502,0.1,0.3,0.435,9.4,18.7,0.503,0.505,6.1,7.7,0.792,2.5,5.6,8.2,2.6,0.9,1.9,25.3,29.2,,,,,,
7,Derrick Rose,8.8,19.7,0.445,1.6,4.8,0.332,7.2,15,0.481,0.485,5.9,6.9,0.858,1,3.1,4.1,7.7,1,0.6,25,28.1,,,,,,
8,Monta Ellis,9.1,20.1,0.451,1.7,4.7,0.361,7.4,15.4,0.478,0.493,4.3,5.4,0.789,0.6,3,3.5,5.6,2.1,0.3,24.1,24.9,,,,,,
9,Kevin Martin,6.9,15.8,0.436,2.2,5.7,0.383,4.7,10.1,0.467,0.506,7.4,8.4,0.888,0.4,2.9,3.2,2.5,1,0.2,23.5,21.2,,,,,,
10,Dirk Nowitzki,8.4,16.2,0.517,0.9,2.3,0.393,7.5,13.8,0.538,0.545,5.4,6.1,0.892,0.7,6.3,7,2.6,0.5,0.6,23,24.5,,,,,,
11,Dwight Howard,7.9,13.4,0.593,0,0.1,0,7.9,13.3,0.597,0.593,7,11.7,0.596,4,10.1,14.1,1.4,1.4,2.4,22.9,34.2,,,,,,
12,Blake Griffin,8.5,16.8,0.506,0.1,0.3,0.292,8.4,16.5,0.51,0.508,5.4,8.5,0.642,3.3,8.8,12.1,3.8,0.8,0.5,22.5,31.1,,,,,,
13,Russell Westbrook,7.5,17,0.442,0.4,1.3,0.33,7.1,15.7,0.451,0.454,6.5,7.7,0.842,1.5,3.1,4.6,8.2,1.9,0.4,21.9,29.1,,,,,,
14,LaMarcus Aldridge,8.7,17.5,0.5,0,0.3,0.174,8.7,17.2,0.505,0.501,4.3,5.5,0.791,3.4,5.3,8.8,2.1,1,1.2,21.8,26.1,,,,,,
15,Andrea Bargnani,8,17.8,0.448,1.2,3.4,0.345,6.8,14.4,0.472,0.48,4.3,5.3,0.82,1.1,4.1,5.2,1.8,0.5,0.7,21.4,20.5,,,,,,
16,Danny Granger,6.8,15.9,0.425,2,5.2,0.386,4.8,10.8,0.443,0.487,5,5.9,0.848,1.1,4.3,5.4,2.6,1.1,0.8,20.5,21.7,,,,,,
17,Brook Lopez,7.9,16,0.492,0,0,0,7.9,16,0.492,0.492,4.7,6,0.787,2.4,3.5,6,1.6,0.6,1.5,20.4,22.3,,,,,,
18,Kevin Love,6.6,14.1,0.47,1.2,2.9,0.417,5.4,11.2,0.483,0.513,5.8,6.8,0.85,4.5,10.7,15.2,2.5,0.6,0.4,20.2,31.1,,,,,,
19,Zach Randolph,8,15.8,0.503,0.1,0.6,0.186,7.9,15.3,0.515,0.507,4,5.3,0.758,4.3,7.8,12.2,2.2,0.8,0.3,20.1,27.5,,,,,,
20,Michael Beasley,7.7,17.1,0.45,0.8,2.2,0.366,6.9,14.8,0.463,0.474,3,4,0.753,1.6,4,5.6,2.2,0.7,0.7,19.2,19.9,,,,,,
21,Paul Pierce*,6.3,12.8,0.497,1.4,3.7,0.374,5,9.1,0.547,0.551,4.8,5.6,0.86,0.4,5,5.4,3.3,1,0.6,18.9,21.4,,,,,,
22,David West,7.5,14.9,0.508,0,0.1,0.222,7.5,14.7,0.51,0.509,3.8,4.7,0.807,2.2,5.3,7.6,2.3,1,0.9,18.9,23.1,,,,,,
23,Pau Gasol,7.2,13.7,0.529,0,0,0.333,7.2,13.6,0.53,0.53,4.3,5.2,0.823,3.3,6.9,10.2,3.3,0.6,1.6,18.8,27.2,,,,,,
24,Chris Bosh*,6.8,13.7,0.496,0.1,0.3,0.24,6.7,13.4,0.502,0.499,5,6.1,0.815,1.8,6.5,8.3,1.9,0.8,0.6,18.7,23.4,,,,,,
25,Stephen Curry,6.8,14.2,0.48,2,4.6,0.442,4.8,9.6,0.498,0.551,2.9,3.1,0.934,0.7,3.2,3.9,5.8,1.5,0.3,18.6,21.2,,,,,,
26,Al Jefferson,8,16.1,0.496,0,0,,8,16.1,0.496,0.496,2.7,3.5,0.761,2.9,6.8,9.7,1.8,0.6,1.9,18.6,24.7,,,,,,
27,Luis Scola,7.7,15.3,0.504,0,0,0,7.7,15.2,0.505,0.504,2.9,3.9,0.738,2,6.2,8.2,2.5,0.6,0.6,18.3,22.5,,,,,,
28,Joe Johnson,7.1,16.1,0.443,1.2,4.2,0.297,5.9,12,0.494,0.481,2.7,3.4,0.802,0.8,3.2,4,4.7,0.7,0.1,18.2,19.3,,,,,,
29,Tony Parker,7.1,13.7,0.519,0.3,0.9,0.357,6.8,12.8,0.531,0.531,3,3.9,0.769,0.4,2.7,3.1,6.6,1.2,0,17.5,21,,,,,,
30,Luol Deng,6.5,14.1,0.46,1.4,4.1,0.345,5.1,10,0.506,0.51,3.1,4.1,0.753,1.4,4.4,5.8,2.8,1,0.6,17.4,19.8,,,,,,
31,Manu Ginóbili,5.5,12.7,0.433,1.9,5.5,0.349,3.6,7.2,0.497,0.509,4.5,5.1,0.871,0.5,3.2,3.7,4.9,1.5,0.4,17.4,20.5,,,,,,
32,Paul Millsap,6.9,13,0.531,0.1,0.3,0.391,6.8,12.7,0.535,0.536,3.4,4.4,0.757,2.2,5.5,7.6,2.5,1.4,0.9,17.3,22.7,,,,,,
33,DeMar DeRozan,6.6,14.1,0.467,0.1,0.6,0.096,6.5,13.4,0.485,0.469,4,4.9,0.813,0.9,2.9,3.8,1.8,1,0.4,17.2,17.6,,,,,,
34,Chauncey Billups,4.7,11,0.427,2,5,0.402,2.7,6,0.448,0.519,5.3,5.8,0.916,0.3,2.3,2.6,5.4,1,0.2,16.8,19.2,,,,,,
35,Ray Allen*,6,12.2,0.491,2.1,4.7,0.444,3.9,7.5,0.52,0.577,2.4,2.7,0.881,0.6,2.8,3.4,2.7,1,0.2,16.5,15.7,,,,,,
36,David Lee,6.8,13.4,0.507,0,0,0.333,6.8,13.4,0.508,0.508,2.9,3.7,0.787,3,6.8,9.8,3.2,1,0.4,16.5,24.1,,,,,,
37,Josh Smith,6.5,13.5,0.477,0.7,2,0.331,5.8,11.5,0.503,0.502,3,4.1,0.725,1.7,6.8,8.5,3.3,1.3,1.6,16.5,24.2,,,,,,
38,Dorell Wright,5.9,14,0.423,2.4,6.3,0.376,3.5,7.7,0.462,0.508,2.2,2.8,0.789,1.1,4.2,5.3,3,1.5,0.8,16.4,18.7,,,,,,
39,Wesley Matthews,5.4,11.9,0.449,1.9,4.6,0.407,3.5,7.3,0.476,0.528,3.2,3.8,0.844,0.6,2.6,3.1,2,1.2,0.1,15.9,15,,,,,,
40,Chris Paul,5.4,11.6,0.463,0.9,2.3,0.388,4.5,9.3,0.482,0.502,4.2,4.8,0.878,0.5,3.6,4.1,9.8,2.4,0.1,15.9,26,,,,,,
41,Jason Terry,6,13.3,0.451,1.5,4.3,0.362,4.5,9,0.493,0.509,2.2,2.6,0.85,0.3,1.6,1.9,4.1,1.1,0.2,15.8,15.5,,,,,,
42,Gerald Wallace,5.4,12,0.454,0.9,2.6,0.333,4.6,9.4,0.487,0.49,3.9,5.3,0.746,1.6,6.5,8,2.4,1.5,0.9,15.7,22.1,,,,,,
43,Jason Richardson,5.9,13.2,0.447,2.4,6,0.395,3.5,7.2,0.49,0.536,1.5,2,0.73,0.8,3.3,4.1,1.8,1.2,0.2,15.6,14.7,,,,,,
44,Raymond Felton,5.7,13.4,0.425,1.5,4.4,0.353,4.1,9,0.46,0.483,2.6,3.2,0.805,0.6,2.9,3.6,8.3,1.7,0.1,15.5,22,,,,,,
45,Rodney Stuckey,5.2,11.8,0.439,0.4,1.3,0.289,4.8,10.5,0.457,0.455,4.7,5.4,0.866,1,2.1,3.1,5.2,1.1,0.1,15.5,19.4,,,,,,
46,Wilson Chandler,6,13.2,0.45,1.6,4.4,0.35,4.4,8.8,0.501,0.509,1.8,2.2,0.807,1,4.6,5.7,1.7,0.7,1.3,15.3,17.2,,,,,,
47,Al Horford,6.7,12,0.557,0,0.1,0.5,6.6,11.9,0.557,0.558,1.9,2.4,0.798,2.4,7,9.3,3.5,0.8,1,15.3,23.2,,,,,,
48,Devin Harris,4.8,11.5,0.422,0.8,2.5,0.322,4,8.9,0.45,0.458,4.7,5.7,0.833,0.2,2.1,2.4,7.1,1,0.1,15.2,20.1,,,,,,
49,Elton Brand,6.2,12.1,0.512,0,0,0,6.2,12.1,0.512,0.512,2.6,3.4,0.78,2.9,5.4,8.3,1.5,1.1,1.3,15,21,,,,,,
50,Kevin Garnett*,6.1,11.6,0.528,0,0.1,0.2,6.1,11.5,0.53,0.529,2.6,3.1,0.862,1.2,7.7,8.9,2.4,1.3,0.8,14.9,22.1,,,,,,
51,Steve Nash*,5.3,10.8,0.492,1.1,2.7,0.395,4.2,8.1,0.525,0.542,3,3.3,0.912,0.5,2.9,3.5,11.4,0.6,0.1,14.7,23.9,,,,,,
52,Nenê,5.4,8.7,0.615,0,0.1,0.2,5.3,8.7,0.618,0.615,3.8,5.4,0.711,1.9,5.7,7.6,2,1.1,1,14.5,20.9,,,,,,
53,D.J. Augustin,4.9,11.7,0.416,1.4,4.1,0.333,3.5,7.6,0.461,0.474,3.3,3.6,0.906,0.5,2.3,2.7,6.1,0.7,0,14.4,17.7,,,,,,
54,Lamar Odom,5.8,10.9,0.53,0.8,2.2,0.382,4.9,8.7,0.566,0.568,2,3,0.675,2.1,6.5,8.7,3,0.6,0.7,14.4,20.8,,,,,,
55,Jamal Crawford,4.8,11.5,0.421,1.6,4.6,0.341,3.3,6.9,0.474,0.489,2.9,3.4,0.854,0.3,1.4,1.7,3.2,0.8,0.2,14.2,13.6,,,,,,
56,DeMarcus Cousins,5.3,12.4,0.43,0,0.2,0.167,5.3,12.2,0.435,0.432,3.4,5,0.687,2.7,6,8.6,2.5,1,0.8,14.1,21.6,,,,,,
57,Tayshaun Prince,6.1,12.8,0.473,0.4,1.3,0.347,5.6,11.6,0.486,0.49,1.5,2.2,0.702,1,3.2,4.2,2.8,0.4,0.5,14.1,15.5,,,,,,
58,Vince Carter,5.3,12.2,0.437,1.6,4.4,0.361,3.7,7.8,0.479,0.502,1.8,2.4,0.74,0.7,3,3.8,2,0.9,0.3,14,14.1,,,,,,
59,Jrue Holiday,5.4,12.2,0.446,1,2.7,0.365,4.5,9.5,0.47,0.487,2.1,2.5,0.823,0.8,3.2,4,6.5,1.5,0.4,14,19.9,,,,,,
60,John Salmons,5.1,12.3,0.415,1.1,3,0.379,4,9.3,0.427,0.462,2.7,3.3,0.813,0.4,3.3,3.6,3.5,1,0.4,14,16.3,,,,,,
61,J.J. Hickson,5.4,11.7,0.458,0,0.1,0,5.4,11.6,0.461,0.458,3.1,4.6,0.673,2.7,6,8.7,1.1,0.6,0.7,13.8,19.6,,,,,,
62,Mike Conley,5.2,11.8,0.444,1,2.7,0.369,4.2,9.1,0.466,0.486,2.2,3,0.733,0.4,2.7,3,6.5,1.8,0.2,13.7,18.9,,,,,,
63,Beno Udrih,5.2,10.4,0.5,0.8,2.3,0.357,4.4,8.1,0.54,0.539,2.5,2.9,0.864,0.5,2.8,3.4,4.9,1.2,0.1,13.7,17.3,,,,,,
64,Lou Williams,4.3,10.6,0.406,1.2,3.4,0.348,3.1,7.2,0.434,0.462,3.9,4.7,0.823,0.4,1.6,2,3.4,0.6,0.2,13.7,14.4,,,,,,
65,Kyle Lowry,4.6,10.8,0.426,1.7,4.6,0.376,2.9,6.2,0.464,0.506,2.6,3.3,0.765,1.2,2.9,4.1,6.7,1.4,0.3,13.5,19.7,,,,,,
66,Tim Duncan*,5.5,11,0.5,0,0.1,0,5.5,11,0.502,0.5,2.4,3.4,0.716,2.2,6.7,8.9,2.7,0.7,1.9,13.4,22.1,,,,,,
67,Jeff Green,4.9,10.9,0.449,0.9,2.8,0.303,4.1,8.1,0.499,0.488,2.6,3.3,0.811,1,3.8,4.8,1.4,0.7,0.5,13.3,14.9,,,,,,
68,Ramon Sessions,4.5,9.6,0.466,0,0.2,0.2,4.4,9.4,0.472,0.468,4.3,5.2,0.823,0.6,2.6,3.1,5.2,0.7,0.1,13.3,17.9,,,,,,
69,Darren Collison,5,11,0.457,0.5,1.6,0.331,4.5,9.4,0.479,0.481,2.6,2.9,0.871,0.5,2.3,2.8,5.1,1.1,0.2,13.2,16.8,,,,,,
70,Grant Hill*,5,10.3,0.484,0.6,1.4,0.395,4.4,8.9,0.498,0.511,2.7,3.2,0.829,1,3.3,4.2,2.5,0.8,0.4,13.2,15.6,,,,,,
71,Jameer Nelson,4.9,11,0.446,1.6,3.9,0.401,3.4,7.1,0.471,0.517,1.7,2.1,0.802,0.5,2.5,3,6,1,0,13.1,16.6,,,,,,
72,C.J. Miles,4.7,11.5,0.407,1.4,4.3,0.322,3.3,7.2,0.459,0.468,2,2.5,0.811,0.7,2.6,3.3,1.7,0.9,0.5,12.8,13.1,,,,,,
73,Marcus Thornton,4.8,11.1,0.434,1.2,3.3,0.367,3.6,7.8,0.462,0.488,2,2.5,0.788,0.8,2.7,3.5,1.8,0.9,0.1,12.8,13.1,,,,,,
74,Channing Frye,4.6,10.8,0.432,2.2,5.7,0.39,2.4,5.1,0.479,0.535,1.2,1.4,0.832,0.8,5.8,6.7,1.2,0.6,1,12.7,15.3,,,,,,
75,Roy Hibbert,5.1,11,0.461,0,0,0,5.1,10.9,0.463,0.461,2.5,3.4,0.745,2.2,5.3,7.5,2,0.4,1.8,12.7,19.3,,,,,,
76,Andre Miller,4.8,10.4,0.46,0,0.5,0.108,4.7,10,0.476,0.462,3.1,3.6,0.853,1.2,2.5,3.7,7,1.4,0.1,12.7,20.1,,,,,,
77,Thaddeus Young,5.6,10.3,0.541,0.1,0.3,0.273,5.5,10.1,0.548,0.544,1.5,2.1,0.707,1.9,3.4,5.3,1,1.1,0.3,12.7,14.8,,,,,,
78,Shawn Marion,5.4,10.4,0.52,0.1,0.4,0.152,5.4,10,0.536,0.523,1.6,2.1,0.768,2.1,4.8,6.9,1.4,0.9,0.6,12.5,16.8,,,,,,
79,Nicolas Batum,4.6,10.1,0.455,1.5,4.3,0.345,3.1,5.8,0.535,0.528,1.7,2.1,0.841,1.4,3.2,4.5,1.5,0.9,0.6,12.4,13.8,,,,,,
80,J.R. Smith,4.3,9.9,0.435,1.6,4,0.39,2.7,5.9,0.466,0.514,2.1,2.8,0.738,0.6,3.5,4.1,2.2,1.2,0.2,12.3,14.1,,,,,,
81,James Harden,3.6,8.3,0.436,1.4,4,0.349,2.3,4.4,0.514,0.518,3.5,4.2,0.843,0.5,2.6,3.1,2.1,1.1,0.3,12.2,13.7,,,,,,
82,Carl Landry,4.5,9,0.502,0,0.1,0,4.5,9,0.505,0.502,2.8,3.8,0.74,2.2,2.4,4.6,0.8,0.5,0.4,11.9,13.6,,,,,,
83,Luke Ridnour,4.5,9.6,0.468,1.1,2.6,0.44,3.4,7,0.479,0.528,1.7,1.9,0.883,0.5,2.3,2.8,5.4,1.3,0.1,11.8,15.8,,,,,,
84,Glen Davis,4.6,10.3,0.448,0,0.2,0.133,4.6,10.1,0.454,0.449,2.5,3.4,0.736,1.3,4.2,5.4,1.2,1,0.4,11.7,15.1,,,,,,
